POSITION:WHITE_WINS:BLACK_WINS
1cw1t2t/2w1w3/2wWtt2/1WWw4/2TT4/3TW3/2T3TT g;0;1
1cw1t2t/2w1w3/2wWtt2/1WWw4/2TW4/3T4/2T2TTT r;0;1
1cw1w2t/2w1w3/W1wW1t2/1TWtw3/3TT3/3TWW2/7T r;0;1
1cw1w2t/2w1w3/W1wW1tW1/1TWtwW2/3T4/3TWW2/7T g;0;1
1cw1w3/2w1w1w1/W1wW1cW1/1CWtwW2/2WT4/4WW2/7T g;0;1
1cw1w3/2w1w1w1/W1wW1cW1/1TWtwW2/1WW5/3TWW2/7T g;0;1
1cw1w3/2w1w1w1/W1wW1cW1/1TWtwW2/3T4/3TWW2/7T r;0;1
1cw1w3/2w1w1w1/W1wW1tW1/1CWtwW2/2WW3W/4WW1W/8 g;0;1
1cw1w3/2w1w1w1/W1wW1tW1/1CWtwW2/2WW4/4WW2/7T r;0;1
1cw1w3/2w1w1w1/W1wW1tW1/1CWwwW2/3W3W/4WW1W/8 r;0;1
1cw1w3/2w1w1w1/W1wW1tW1/1TW1wW2/3W3W/4WW1W/8 g;0;1
1cw1w3/2w1w1w1/W1wW1tW1/1TWtwW2/1WW5/3WWW2/7T g;0;1
1cw1w3/2w1w1w1/W1wW1tW1/1TWtwW2/1WWw4/3TWW2/7T r;0;1
1t1t3t/1www1t2/2wWww2/1WWw4/2TTw3/3TW3/2T3TT g;0;1
1t1t3t/1www1t2/2wWww2/1WWw4/2TWw3/3T4/2T2TTT r;0;1
1t1t3t/1www4/2wWtw2/1WWt4/2TTw3/3TW3/2T2WC1 g;0;1
1t1t3t/1www4/2wWtw2/1WWt4/2TTw3/3TW3/2T3TT r;0;1
1t1tt2t/1ww2t2/3Www2/1WWw4/2TWw3/3T4/2T2TTT g;0;1
1t1tt2t/1ww2t2/3Www2/1WWw4/2WWw3/3W4/2T1TTTT r;0;1
1t1tw2t/2w1w3/W1wW1t2/1TWtw3/3TT3/3TWW2/7T g;0;1
1t1tw2t/2w1w3/W1wW1t2/1TWtw3/3TW3/3TW3/6TT r;0;1
1ttw3t/2w1w3/W1wW1t2/1TWtw3/3T4/3WW3/2T3TT r;0;1
1ttw3t/2w1w3/W1wW1t2/1TWtw3/3TW3/3TW3/6TT g;0;1
1tw1c2t/2w1t3/W1wW1t2/1TWww3/3T4/3TW3/2T3TT r;0;1
1tw1c2t/2w1t3/W1wW1t2/1TWww3/3TW3/3TWW2/2T4T g;0;1
1tw1t2t/2w1t3/W1wW1t2/1WWww3/3TW3/3TWW2/2T4T r;0;1
1tw1t2t/2w1t3/W1wW1t2/1WWwwW2/3TT3/4WW2/2T4T g;0;1
1tw1t2t/2w1w3/2wWtt2/1WWww3/2TT4/3TW3/2T3TT r;0;1
1tw1t2t/2w1w3/W1wW1t2/1TWtw3/2wT4/3TW3/2T3TT r;0;1
1tw1t2t/2w1w3/W1wW1t2/1TWtw3/3T4/3WW3/2T3TT g;0;1
1tw1t2t/2w1w3/W1wWtt2/1TWww3/3T4/3TW3/2T3TT g;0;1
1tw1t2t/2w5/W1wWwt2/1WWwtW2/3TT3/4WW2/2T4T r;0;1
1tw1t2t/2w5/W1wWwtW1/1WWwtT2/3T4/4WW2/2T4T g;0;1
1tw1t3/2w3w1/W1wWwcW1/1WWwtT2/3T4/4WW2/2T4T r;0;1
1tw1t3/2w3w1/W1wWwwW1/1WWwt3/3T4/4WW2/2T4T g;0;1
1tw1w3/2w1w1w1/W1wW1tW1/1WW1wW2/3W3W/4WW1W/8 g;0;1
1tw1w3/2w1w1w1/W1wW1tW1/1WWtwW2/1WW4W/3WWW1W/8 r;0;1
1tw1w3/2w1w1w1/W1wW1tW1/1WWtwW2/1WW5/3WWW2/7T r;0;1
1tw5/2w1w1w1/W1wW1wW1/1WWwc3/2WTw3/2W1WW2/7T r;0;1
